Name,Crew,Role,Years of Experience,Fitness Certification,Start Date,End Date,Gender,Mixed Crew Restrictions,Same crew preferences,Different crew preferences
Legend Nash,1,Leader,7,National,,,M,,[],['Mack Small']
Edward Norton,1,Boss,5,National,,,M,Yes,[],[]
Rowan Murillo,1,Member,1,National,,,M,,[],[]
Charlie Juarez,1,Member,2,National,May 9,August 1,M,,[],[]
Jackson Melendez,1,Member,1,National,,,M,,[],[]
John Smith,2,Leader,9,National,,,M,,[],[]
Briggs Macdonald,2,Boss,3,National,,,M,,[],[]
Gracie Monroe,2,Member,1,National,,,F,,"['John Smith', ' Charlie Juarez']",[]
Rudy Gates,2,Member,1,Ontario,,,O,,[],[]
Anna Hebert,2,Member,1,Ontario,,,F,,[],[]
Jane Doe,3,Leader,6,National,,,F,,[],[]
Gemma Trevino,3,Boss,2,National,,August 25,F,,[],[]
Jocelyn Jarvis,3,Member,2,National,,,F,,[],[]
Rohan Wilkinson,3,Member,3,National,,,M,,[],[]
Jovanni O’Neal,4,Leader,4,National,,,M,,[],[]
Skyler Wilkerson,4,Boss,3,Ontario,,,F,,[],[]
Ahmir Vo,4,Member,2,National,,,M,,[],[]
Mack Small,4,Member,4,National,,,F,,[],[]
Finnley Hart,5,Leader,4,Ontario,,August 18,M,,[],[]
Adriel Coleman,5,Boss,4,National,,,F,,['Jeffrey Coleman'],[]
Jeffrey Coleman,5,Member,2,National,,,M,,['Adriel Coleman'],[]
Robin Hull,5,Member,3,National,,,M,,[],[]
